"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"189",2,-0.06064347,-4.85,3.10000000000002,3.10000000000002,0,0,0,0,3,3,0,2,0
"196",2,-0.04075792,-2.13,2.19999999999999,2.19999999999999,0,0,0,0,3,2,0,1,0
"203",2,-0.02351735,-1.8,1.69999999999999,1.69999999999999,0,0,0,0,3,2,0,1,0
"210",2,-0.00823866,-1.45,1.30000000000001,1.30000000000001,0,0,0,0,3,4,0,1,0
"217",2,0.00508568,-1.07,1,1,0,0,4,0,3,3,0,1,0
"224",2,0.01758228,-0.83,0.800000000000011,0.800000000000011,0,0,3,0,2,3,0,1,0
"231",2,0.02916667,-0.64,0.600000000000023,0.600000000000023,0,0,3,0,3,3,0,1,0
"238",2,0.04002048,-0.48,0.5,0.5,0,0,3,0,3,3,0,1,0
"245",2,0.05037141,-0.37,0.300000000000011,0.300000000000011,0,0,3,0,3,3,0,1,0
"252",2,0.0603111,-0.29,0.300000000000011,0.300000000000011,0,0,3,0,3,2,0,1,0
"259",2,0.0699755,-0.22,0.199999999999989,0.199999999999989,0,0,2,0,3,2,0,1,0
"266",2,0.07936554,-0.17,0.199999999999989,0.199999999999989,0,0,2,0,2,2,0,1,0
"273",2,0.08834997,-0.13,0.100000000000023,0.100000000000023,0,0,2,0,2,2,0,1,0
"280",2,0.09746356,-0.1,0.100000000000023,0.100000000000023,0,0,2,0,2,2,0,1,0
"287",2,0.10643899,-0.08,0.100000000000023,0.100000000000023,0,0,2,0,2,4,0,1,0
"294",2,0.11541191,-0.06,0.100000000000023,0.100000000000023,0,0,2,0,2,3,0,1,0
"301",2,0.12429292,-0.04,0,0,0,0,2,0,2,3,0,1,0
"308",2,0.13317223,-0.03,0,0,0,0,2,0,2,3,0,1,0
"315",2,0.1420042,-0.02,0,0,0,0,2,0,2,3,0,1,0
"322",2,0.15078926,0.07,0,0,102,1,2,0,2,3,0,1,0
"329",2,0.16057358,7.38,0.5,0.5,102,1,2,0,2,2,0,1,0
"336",3,0.16687637,17.89,-2,-2,97,0,1,0,2,2,0,1,0
"343",3,0.18125127,28.5,3.5,3.5,97,0,1,0,1,2,0,1,0
"350",3,0.19355046,30.62,1.39999999999998,1.39999999999998,87,0,1,0,1,2,0,1,0
"357",3,0.22976087,29.82,-0.899999999999977,-0.899999999999977,77,0,1,0,1,2,0,1,0
"364",3,0.25564916,30.04,6.5,6.5,77,0,1,0,1,2,0,1,0
"371",3,0.30017165,29.99,4,4,67,0,1,0,1,2,0,1,1
"378",3,0.35032398,30,11.5,11.5,67,0,1,0,1,2,0,1,1
"385",3,0.40104553,30,8.89999999999998,8.89999999999998,57,0,1,0,1,2,0,1,1
"392",3,0.46750098,30,6.30000000000001,6.30000000000001,47,0,1,0,1,2,0,1,1
"399",3,0.52958207,30,13.7,13.7,37,0,1,0,1,2,0,1,2
"406",3,0.59414774,26.09,10.7,10.7,27,0,1,0,1,1,0,1,2
"413",3,0.66497766,15.93,5.89999999999998,5.89999999999998,14,0,1,0,1,1,0,1,2
"420",3,0.71377729,5.81,8.60000000000002,8.60000000000002,14,0,1,0,1,4,0,1,2
"427",3,0.7299076,4.38,-0.300000000000011,-0.300000000000011,4,0,1,0,1,3,0,0,2
"434",3,0.71671379,3.78,-9.39999999999998,-9.39999999999998,-6,0,1,0,1,3,0,0,2
"441",3,0.67952857,2.78,-14.6,-14.6,-12,0,1,0,1,3,0,0,2
"448",3,0.60930401,2.22,-16,-16,-14,0,1,0,1,3,0,0,2
"455",3,0.5388258,1.72,-15.6,-15.6,-14,0,1,0,4,3,0,0,2
"462",3,0.47016743,2.5,-15.2,-15.2,-12,0,1,0,3,2,0,0,2
"469",3,0.4041615,3.11,-14.6,-14.6,-12,0,1,0,3,2,0,0,2
"476",3,0.34240489,2.05,-14,-14,-12,0,1,0,3,2,0,0,2
"483",3,0.28184072,1.69,-13.6,-13.6,-12,0,1,0,3,2,0,0,0
"490",3,0.22307176,3.44,-13.2,-13.2,1,0,1,0,2,2,0,0,0
"497",3,0.16899053,12.76,-11.7,-11.7,-5,0,1,0,2,2,0,0,0
"504",3,0.1280001,11.84,-8.69999999999999,-8.69999999999999,-5,0,1,0,2,2,0,0,0
"511",3,0.10043984,2.58,-6.80000000000001,-6.80000000000001,-1,0,1,0,2,2,0,0,0
"518",3,0.07609866,2.9,-6.39999999999998,-6.39999999999998,-1,0,1,0,2,2,0,0,0
"525",3,0.05508539,5.61,-5.39999999999998,-5.39999999999998,-1,0,1,0,2,2,0,0,0
"532",3,0.03996573,3.47,-4.39999999999998,-4.39999999999998,-1,0,1,0,3,2,0,0,0
"539",3,0.02891315,2.91,-3.69999999999999,-3.69999999999999,-1,0,1,0,3,3,0,0,0
"546",3,0.02105026,2.26,-3.10000000000002,-3.10000000000002,-1,0,1,0,3,3,0,0,0
"553",3,0.01576146,1.77,-2.60000000000002,-2.60000000000002,-1,0,1,0,3,3,0,0,0
"560",3,0.01238606,1.87,-2.30000000000001,-2.30000000000001,92,1,1,0,3,3,0,0,0
"567",3,0.01228259,10.31,-1.30000000000001,-1.30000000000001,92,1,0,0,2,4,4,0,0
"574",3,0.02353542,20.86,1.80000000000001,1.80000000000001,92,1,0,0,2,3,3,0,0
"581",4,0.04916992,30.4,2.80000000000001,2.80000000000001,87,0,0,0,2,3,3,0,0
"588",4,0.09721094,30.07,10.4,10.4,87,0,0,0,2,3,3,0,0
"595",4,0.15393105,29.95,7.40000000000001,7.40000000000001,77,0,0,0,2,3,3,0,0
"602",4,0.22505426,30.02,14.5,14.5,77,0,0,0,2,3,3,0,0
"609",4,0.2931012,30,11.6,11.6,67,0,0,0,2,2,2,0,0
"616",4,0.38368968,30,8.59999999999999,8.59999999999999,57,0,0,0,2,2,2,0,1
"623",4,0.46152976,30,15.6,15.6,47,0,0,0,2,2,2,0,1
"630",4,0.55546594,27.28,12.5,12.5,37,0,0,0,4,2,2,0,1
"637",4,0.65048469,20.29,17.9,17.9,37,0,0,0,3,2,2,0,2
"644",4,0.72451018,16.32,11.8,11.8,27,0,0,0,3,2,2,0,2
"651",4,0.79147332,12.91,5,5,17,0,0,0,3,2,2,0,2
"658",4,0.83921231,10.16,7.5,7.5,17,0,0,0,3,2,2,0,1
"665",4,0.8454268,8.03,-0.5,-0.5,7,0,0,0,2,2,2,0,1
"672",4,0.82545115,6.39,-9,-9,-3,0,0,0,2,2,2,0,1
"679",4,0.78692832,5.06,-13.7,-13.7,-9,0,0,0,2,2,2,0,2
"686",4,0.71812934,4,-14.7,-14.7,-11,0,0,0,2,1,1,0,2
"693",4,0.65089148,3.17,-14,-14,-11,0,0,0,4,1,1,0,2
"700",4,0.58719923,2.51,-13.3,-13.3,-11,0,0,0,3,4,1,0,2
"707",4,0.52613273,1.99,-12.9,-12.9,-11,0,0,0,3,3,1,0,2
"714",4,0.46727408,1.63,-12.5,-12.5,-7,0,0,0,3,3,1,0,2
"721",4,0.41088822,5.73,-11.8,-11.8,-7,0,0,0,3,3,1,0,2
"728",4,0.36143348,4.01,-10.7,-10.7,-7,0,0,0,3,3,1,0,2
"735",4,0.31510211,3.17,-10,-10,-7,0,0,0,2,3,1,0,2
"742",4,0.27218178,2.56,-9.40000000000001,-9.40000000000001,-5,0,0,0,2,2,1,0,0
"749",4,0.23267344,4.29,-8.69999999999999,-8.69999999999999,-5,0,0,0,2,2,1,0,0
"756",4,0.19755525,3.06,-7.90000000000001,-7.90000000000001,-5,0,0,0,2,2,1,0,0
"763",4,0.16587372,2.48,-7.30000000000001,-7.30000000000001,-3,0,0,0,2,2,1,0,0
"770",4,0.13750256,4.24,-6.59999999999999,-6.59999999999999,-3,0,0,0,3,2,1,0,0
"777",4,0.11348062,2.99,-5.80000000000001,-5.80000000000001,-3,0,0,0,3,4,1,0,0
"784",4,0.0929376,2.42,-5.30000000000001,-5.30000000000001,-3,0,0,0,3,3,1,0,0
"791",4,0.07563298,4.05,-4.80000000000001,-4.80000000000001,36,1,0,0,3,3,1,0,0
"798",4,0.06336954,13.85,-3.19999999999999,-3.19999999999999,36,1,0,0,3,3,1,0,0
"805",4,0.06715846,24.62,0.699999999999989,0.699999999999989,36,1,0,0,2,3,1,0,0
"812",5,0.08701073,30.99,2.30000000000001,2.30000000000001,31,0,0,0,2,3,1,0,0
"819",5,0.12982252,24.15,8.59999999999999,8.59999999999999,31,0,0,0,2,2,1,0,0
"826",5,0.16009693,19.02,3.09999999999999,3.09999999999999,21,0,0,0,2,2,1,0,0
"833",5,0.19395475,15.26,-3.19999999999999,-3.19999999999999,11,0,0,0,2,2,1,0,0
"840",5,0.19542017,12.15,-0.400000000000006,-0.400000000000006,11,0,0,0,2,2,1,0,0
"847",5,0.18867574,9.72,-7.09999999999999,-7.09999999999999,2,0,0,0,2,2,1,0,0
"854",5,0.162669,7.51,-8.30000000000001,-8.30000000000001,-6,0,0,0,2,2,1,0,0
"861",5,0.13015636,0.8,-7.30000000000001,-7.30000000000001,-6,0,0,0,2,2,1,0,0
"868",5,0.09959109,1.31,-7.19999999999999,-7.19999999999999,-6,0,0,0,2,2,1,0,0
"875",5,0.07028146,1,-6.90000000000001,-6.90000000000001,-4,0,0,0,2,2,1,0,0
"882",5,0.042291,2.96,-6.59999999999999,-6.59999999999999,-4,0,0,0,4,2,1,0,0
"889",5,0.01728903,2.21,-6,-6,-4,0,0,0,3,2,1,0,0
"896",5,-0.00512672,1.75,-5.59999999999999,-5.59999999999999,-4,0,0,0,3,4,1,0,0
"903",5,-0.02561338,1.42,-5.30000000000001,-5.30000000000001,-4,0,0,0,3,3,1,0,0
"910",5,-0.04441172,1.14,-5.09999999999999,-5.09999999999999,-1,0,0,0,3,3,1,0,0
"917",5,-0.06104572,4.15,-4.69999999999999,-4.69999999999999,-1,0,0,0,3,3,0,0,0
"924",5,-0.07418317,3.12,-3.90000000000001,-3.90000000000001,-1,0,0,0,2,3,0,0,0
"931",5,-0.0835608,2.47,-3.30000000000001,-3.30000000000001,-1,0,0,0,2,2,0,0,0
"938",5,-0.09012828,2.42,-2.80000000000001,-2.80000000000001,2,0,0,0,2,2,0,0,0
