"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"350",2,3,0.12611769,10.03,1.80000000000001,1.80000000000001,102,1,2,0,2,2,0,2,0
"357",3,4,0.13410344,20.87,0.199999999999989,0.199999999999989,97,0,2,0,2,4,0,2,0
"364",3,4,0.16086288,30.25,6.89999999999998,6.89999999999998,97,0,1,0,2,3,0,2,0
"371",3,4,0.17874145,30.13,5,5,87,0,1,0,4,3,0,1,0
"378",3,4,0.22597305,29.94,2.89999999999998,2.89999999999998,77,0,1,0,3,3,0,1,0
"385",3,4,0.26900283,30.02,10.6,10.6,77,0,1,0,3,3,0,1,0
"392",3,4,0.33043398,30,8.39999999999998,8.39999999999998,67,0,1,0,3,3,0,1,1
"399",3,4,0.39987808,30,16.2,16.2,67,0,1,0,3,2,0,1,1
"406",3,4,0.47333898,30,14,14,57,0,1,0,3,4,0,1,1
"413",3,4,0.56342641,30,11.5,11.5,47,0,1,0,2,3,0,1,2
"420",3,4,0.64733057,29.8,19.2,19.2,47,0,1,0,2,3,0,1,2
"427",3,4,0.74325632,22.99,16.1,16.1,37,0,1,0,2,3,0,1,2
"434",3,4,0.84086066,15.93,10.9,10.9,23,0,1,0,2,3,0,1,1
"441",3,4,0.91238604,9.14,13.9,13.9,23,0,1,0,2,3,0,1,1
"448",3,4,0.96015655,6.1,5.89999999999998,5.89999999999998,3,0,1,0,4,2,0,1,1
"455",3,4,0.97768662,-3.17,-3.5,-3.5,-7,0,1,0,3,2,0,1,1
"462",3,4,0.96362116,-3.38,-10.4,-10.4,-13,0,1,0,3,2,0,1,1
"469",3,2,0.91138684,-1.98,-13,-13,-15,0,1,0,3,2,0,1,1
"476",3,2,0.85492883,-1.71,-13.4,-13.4,-15,0,1,0,3,2,4,1,1
"483",3,2,0.79850075,-1.29,-13.8,-13.8,-15,0,1,0,3,4,3,1,2
"490",3,2,0.73901727,-1,-14.1,-14.1,-15,0,1,0,2,3,3,1,2
"497",3,2,0.67841349,-0.77,-14.3,-14.3,-15,0,1,0,2,3,3,1,3
"504",3,2,0.6158589,-0.59,-14.4,-14.4,-15,0,1,0,2,3,4,1,3
"511",3,2,0.55516231,-0.46,-14.6,-14.6,-15,0,1,0,2,3,3,1,3
"518",3,2,0.49216172,-0.36,-14.7,-14.7,-15,0,1,0,2,3,3,1,3
"525",3,2,0.42857063,-0.27,-14.7,-14.7,-15,0,1,0,2,2,3,1,3
"532",3,2,0.36445782,-0.2,-14.8,-14.8,-15,0,1,0,2,3,3,1,3
"539",3,2,0.30015326,-0.15,-14.9,-14.9,-15,0,1,0,4,3,2,1,3
"546",3,2,0.23734628,-0.12,-14.9,-14.9,-15,0,1,0,3,3,2,1,0
"553",3,2,0.17261751,-0.09,-14.9,-14.9,-15,0,1,0,3,3,2,1,0
"560",3,2,0.10765908,-0.07,-14.9,-14.9,-15,0,1,0,3,3,2,1,0
"567",3,3,0.04234694,-0.06,-14.9,-14.9,-1,0,1,0,3,2,2,1,0
"574",3,3,-0.02160419,4.14,-14.8,-14.8,-1,0,1,0,3,4,2,1,0
"581",3,3,-0.08188692,13.34,-13,-13,-1,0,1,0,4,3,2,1,0
"588",3,3,-0.12899143,10.27,-10,-10,-1,0,1,0,3,3,2,1,0
"595",3,3,-0.16345511,7.31,-8,-8,92,1,0,0,3,3,2,1,0
"602",3,3,-0.18888236,11.81,-6.19999999999999,-6.19999999999999,92,1,0,0,3,4,2,0,0
"609",4,4,-0.21307666,22.32,-7.5,-7.5,87,0,0,0,3,4,2,0,0
"616",4,4,-0.22248291,30.75,-0.800000000000011,-0.800000000000011,87,0,0,0,3,3,4,0,0
"623",4,4,-0.21923643,29.92,-3,-3,77,0,0,0,2,3,3,0,0
"630",4,4,-0.20286169,30,4.30000000000001,4.30000000000001,77,0,0,0,2,3,3,0,0
"637",4,4,-0.17251379,30,1.5,1.5,67,0,0,0,2,4,3,0,0
"644",4,4,-0.13327005,30,8.80000000000001,8.80000000000001,67,0,0,0,4,3,3,0,0
"651",4,4,-0.07656041,30,6.19999999999999,6.19999999999999,57,0,0,0,3,3,2,0,0
"658",4,4,-0.01339809,30,13.5,13.5,57,0,0,0,3,3,2,0,0
"665",4,4,0.06545009,30,10.8,10.8,47,0,0,0,3,3,2,0,0
"672",4,4,0.15149558,29.98,18,18,47,0,0,0,3,2,2,0,0
"679",4,4,0.24590436,24.66,14.6,14.6,37,0,0,0,3,4,2,0,0
"686",4,4,0.34643533,18.64,19.5,19.5,37,0,0,0,2,3,2,0,1
"693",4,4,0.43571658,14.78,13.3,13.3,27,0,0,0,2,3,2,0,1
"700",4,4,0.52534903,10.14,16.2,16.2,7,0,0,0,2,3,2,0,1
"707",4,4,0.57521465,-0.01,7.69999999999999,7.69999999999999,-3,0,0,0,2,3,2,0,2
"714",4,4,0.60266107,-9.98,-3.09999999999999,-3.09999999999999,-13,0,0,0,2,3,2,0,2
"721",4,4,0.58969088,-8.88,-5.40000000000001,-5.40000000000001,-13,0,0,0,2,2,2,0,2
"728",4,2,0.53821825,-6.18,-15.1,-15.1,-21,0,0,0,2,2,1,0,2
"735",4,2,0.46437388,-5.07,-16.3,-16.3,-21,0,0,0,2,2,1,0,2
"742",4,2,0.38476633,-3.93,-17.3,-17.3,-21,0,0,4,2,2,1,0,2
"749",4,2,0.30096297,-3.1,-18.1,-18.1,-21,0,0,3,2,4,1,4,2
"756",4,2,0.21593083,-1.52,-18.7,-18.7,-1,0,0,3,2,3,1,3,0
"763",4,2,0.12750241,8.05,-18.3,-18.3,-1,0,0,3,1,3,1,3,0
"770",4,2,0.04826469,16.87,-15.6,-15.6,-1,0,0,3,1,3,1,3,0
"777",4,2,-0.01343872,12.35,-12.1,-12.1,-1,0,0,3,4,3,1,3,0
"784",4,2,-0.06036411,9.31,-9.80000000000001,-9.80000000000001,-1,0,0,2,3,2,1,3,0
"791",4,2,-0.0959848,7.54,-8,-8,-1,0,0,2,3,2,1,2,0
"798",4,2,-0.1241602,5.9,-6.5,-6.5,-1,0,0,2,3,4,1,2,0
"805",4,2,-0.14564989,4.66,-5.30000000000001,-5.30000000000001,-1,0,0,2,3,3,1,2,0
"812",4,2,-0.16170255,3.68,-4.40000000000001,-4.40000000000001,-1,0,0,2,4,3,1,2,0
"819",4,3,-0.17338019,2.91,-3.69999999999999,-3.69999999999999,-1,0,0,2,3,3,1,2,0
"826",4,3,-0.18198898,2.3,-3.09999999999999,-3.09999999999999,-1,0,0,2,3,4,1,2,0
"833",4,3,-0.18779125,1.83,-2.69999999999999,-2.69999999999999,-1,0,0,2,3,3,1,2,0
"840",4,3,-0.19164243,1.44,-2.30000000000001,-2.30000000000001,-1,0,0,2,4,3,1,2,0
"847",4,3,-0.19386955,1.14,-2.09999999999999,-2.09999999999999,36,1,0,2,3,3,1,2,0
"854",4,3,-0.19439723,6.15,-1.59999999999999,-1.59999999999999,36,1,0,2,3,4,1,2,0
"861",5,4,-0.19554048,16.78,-4.40000000000001,-4.40000000000001,31,0,0,1,3,3,1,2,0
"868",5,4,-0.19694245,27.35,0.400000000000006,0.400000000000006,31,0,0,1,3,3,1,4,0
"875",5,4,-0.1870698,29.5,-2.59999999999999,-2.59999999999999,21,0,0,1,4,3,1,3,0
"882",5,4,-0.17390606,19.9,3.09999999999999,3.09999999999999,21,0,0,1,3,4,1,3,0
"889",5,4,-0.1627948,15.09,-3.30000000000001,-3.30000000000001,11,0,0,1,3,3,1,3,0
"896",5,4,-0.16166306,12.17,-0.300000000000011,-0.300000000000011,11,0,0,1,3,3,1,3,0
"903",5,4,-0.1751912,9.62,-7,-7,2,0,0,1,3,3,1,3,0
"910",5,1,-0.19994668,7.7,-8.19999999999999,-8.19999999999999,-1,0,0,1,2,3,1,2,0
"917",5,1,-0.22965548,6.12,-6.69999999999999,-6.69999999999999,-1,0,0,1,2,3,1,2,0
"924",5,1,-0.25230572,4.87,-5.5,-5.5,-1,0,0,1,2,4,1,2,0
"931",5,1,-0.26938733,3.88,-4.59999999999999,-4.59999999999999,-1,0,0,1,2,3,1,2,0
"938",5,1,-0.28201377,1.55,-3.90000000000001,-3.90000000000001,-11,0,0,1,2,3,1,2,0
"945",5,1,-0.29338771,-7.21,-4.30000000000001,-4.30000000000001,-11,0,0,1,2,3,1,2,0
"952",5,1,-0.31188308,-5.76,-5.69999999999999,-5.69999999999999,-11,0,0,1,2,3,1,2,1
"959",5,1,-0.33732971,-4.44,-6.80000000000001,-6.80000000000001,-11,0,0,1,2,2,1,2,1
"966",5,1,-0.36780901,-3.59,-7.59999999999999,-7.59999999999999,-11,0,0,1,2,2,0,2,1
"973",5,1,-0.40255852,-2.85,-8.30000000000001,-8.30000000000001,-11,0,0,1,2,2,0,2,1
"980",5,1,-0.44066715,-2.28,-8.90000000000001,-8.90000000000001,-11,0,0,1,2,4,0,2,2
"987",5,2,-0.48141633,-1.82,-9.30000000000001,-9.30000000000001,-11,0,0,1,2,3,0,1,2
"994",5,2,-0.52308471,-1.48,-9.59999999999999,-9.59999999999999,-11,0,0,1,1,3,0,1,2
"1001",5,2,-0.56765487,-1.18,-9.90000000000001,-9.90000000000001,-11,0,0,1,1,3,0,1,2
"1008",5,2,-0.61356965,-0.95,-10.1,-10.1,-11,0,0,1,1,3,0,1,2
"1015",5,2,-0.66078527,-0.76,-10.3,-10.3,-11,0,0,1,1,3,0,1,2
"1022",5,2,-0.70896727,-0.61,-10.4,-10.4,-11,0,0,1,1,3,0,1,2
"1029",5,2,-0.7568457,-0.49,-10.5,-10.5,-11,0,0,1,1,3,4,1,2
"1036",5,2,-0.80642565,-0.39,-10.6,-10.6,9,0,0,1,1,3,3,1,1
"1043",5,2,-0.85569175,6.46,-10.3,-10.3,9,0,0,1,1,3,3,1,1
"1050",5,2,-0.89747267,16.87,-8.09999999999999,-8.09999999999999,9,0,0,1,1,3,3,1,1
"1057",5,2,-0.92087716,15.46,-4.5,-4.5,9,0,0,1,1,2,3,1,1
"1064",5,2,-0.9258857,11.3,-1.80000000000001,-1.80000000000001,9,0,0,1,1,2,3,1,1
